134,134,134,0,0,0,0,0,0,0,0,0
194,194,194,167,167,167,154,154,154,0,0,0
188,188,188,173,173,173,212,212,212,0,0,0
182,182,182,172,172,172,204,204,204,0,0,0
171,171,171,198,198,198,219,219,219,0,0,0
155,155,155,189,189,189,205,205,205,0,0,0
152,152,152,201,201,201,210,210,210,131,131,131
138,138,138,223,223,223,226,226,226,145,145,145
0,0,0,220,220,220,228,228,228,136,136,136
0,0,0,219,219,219,218,218,218,129,129,129
0,0,0,224,224,224,209,209,209,142,142,142
0,0,0,226,226,226,201,201,201,159,159,159
0,0,0,201,201,201,216,216,216,163,163,163
0,0,0,209,209,209,207,207,207,142,142,142
0,0,0,216,216,216,198,198,198,115,115,115
0,0,0,210,210,210,196,196,196,0,0,0
0,0,0,198,198,198,205,205,205,113,113,113
0,0,0,199,199,199,216,216,216,129,129,129
0,0,0,197,197,197,213,213,213,140,140,140
0,0,0,185,185,185,203,203,203,145,145,145
0,0,0,174,174,174,220,220,220,155,155,155
0,0,0,161,161,161,208,208,208,144,144,144
0,0,0,158,158,158,206,206,206,151,151,151
0,0,0,162,162,162,210,210,210,170,170,170
0,0,0,164,164,164,201,201,201,176,176,176
0,0,0,172,172,172,191,191,191,173,173,173
0,0,0,185,185,185,189,189,189,182,182,182
0,0,0,196,196,196,191,191,191,192,192,192
0,0,0,181,181,181,194,194,194,187,187,187
0,0,0,201,201,201,188,188,188,154,154,154
0,0,0,219,219,219,198,198,198,153,153,153
0,0,0,219,219,219,185,185,185,119,119,119
0,0,0,159,159,159,185,185,185,174,174,174
0,0,0,166,166,166,187,187,187,142,142,142
0,0,0,163,163,163,200,200,200,161,161,161
0,0,0,146,146,146,181,181,181,157,157,157
0,0,0,129,129,129,216,216,216,169,169,169
0,0,0,138,138,138,208,208,208,164,164,164
0,0,0,164,164,164,202,202,202,155,155,155
0,0,0,187,187,187,201,201,201,154,154,154
0,0,0,190,190,190,201,201,201,164,164,164
0,0,0,193,193,193,203,203,203,169,169,169
0,0,0,203,203,203,195,195,195,165,165,165
114,114,114,209,209,209,185,185,185,155,155,155
116,116,116,214,214,214,199,199,199,188,188,188
142,142,142,227,227,227,181,181,181,158,158,158
112,112,112,212,212,212,176,176,176,154,154,154
0,0,0,194,194,194,195,195,195,176,176,176
0,0,0,202,202,202,207,207,207,182,182,182
0,0,0,206,206,206,202,202,202,190,190,190
0,0,0,191,191,191,193,193,193,210,210,210
0,0,0,186,186,186,192,192,192,228,228,228
129,129,129,177,177,177,198,198,198,204,204,204
0,0,0,186,186,186,205,205,205,208,208,208
0,0,0,202,202,202,188,188,188,173,173,173
0,0,0,162,162,162,185,185,185,176,176,176
0,0,0,0,0,0,120,120,120,120,120,120
